va	rva	size	module	source	symbol
0x140015930	0x15930	64	achievement	original/achievement.cpp	achievement_checkForPlatinum
0x140015970	0x15970	60	achievement	original/achievement.cpp	achievement_complete
0x1400159B0	0x159B0	3	achievement	original/achievement.cpp	achievement_destroy
0x1400159C0	0x159C0	5	achievement	original/achievement.cpp	achievement_getcomplete
0x1400159D0	0x159D0	14	achievement	original/achievement.cpp	achievement_getcount
0x1400159E0	0x159E0	14	achievement	original/achievement.cpp	achievement_update
0x1400159F0	0x159F0	8	ai	original/ai.c	__local_stdio_printf_options
0x140015A00	0x15A00	204	ai	original/ai.c	ai_CheckBounds
0x140015AD0	0x15AD0	97	ai	original/ai.c	ai_Death
0x140015B40	0x15B40	417	ai	original/ai.c	ai_DefendCheck
0x140015CF0	0x15CF0	270	ai	original/ai.c	ai_FindFarPlayer
0x140015E00	0x15E00	245	ai	original/ai.c	ai_FindNearestPlayer
0x140015F00	0x15F00	870	ai	original/ai.c	ai_FireWeapon
0x140016270	0x16270	22	ai	original/ai.c	ai_GetAIHandle
0x140016290	0x16290	76	ai	original/ai.c	ai_GetAiDataValue
0x1400162E0	0x162E0	32	ai	original/ai.c	ai_GetAiDataValueN
0x140016300	0x16300	33	ai	original/ai.c	ai_GetAiSeqValue
0x140016330	0x16330	386	ai	original/ai.c	ai_HthAttack
0x1400164C0	0x164C0	697	ai	original/ai.c	ai_LoadAI
0x140016780	0x16780	3	ai	original/ai.c	ai_Main
0x140016790	0x16790	386	ai	original/ai.c	ai_RangedAttack
0x140016920	0x16920	581	ai	original/ai.c	ai_SeqAttack
0x140016B70	0x16B70	252	ai	original/ai.c	ai_SetTarget
0x140016C70	0x16C70	382	ai	original/ai.c	ai_Throw
0x140016DF0	0x16DF0	48	ai	original/ai.c	ai_ValidateData
0x140016E20	0x16E20	436	ai	original/ai.c	ai_WalkToPoint
0x140016FE0	0x16FE0	835	ai	original/ai.c	ai_WalkWayPoints
0x140017330	0x17330	212	ai	original/ai.c	ai_WalktoPlayer
0x140017410	0x17410	93	ai	original/ai.c	sprintf
0x140017470	0x17470	201	alloc	original/alloc.c	memalloc
0x140017540	0x17540	165	alloc	original/alloc.c	memfree
0x1400175F0	0x175F0	49	alloc	original/alloc.c	meminit
0x140017630	0x17630	12	alloc	original/alloc.c	memsize
0x140017640	0x17640	119	alltext	original/alltext.c	generateAllText
0x1400176C0	0x176C0	29	alltext	original/alltext.c	getDefaultFontFile
0x1400176E0	0x176E0	109	alltext	original/alltext.c	getFontFile
0x140017750	0x17750	310	anim	original/anim.c	anim_AddNextAnimSeq
0x140017890	0x17890	114	anim	original/anim.c	anim_CheckSlack
0x140017910	0x17910	208	anim	original/anim.c	anim_CreateObject
0x1400179E0	0x179E0	868	anim	original/anim.c	anim_CreateTweenFrame
0x140017D50	0x17D50	672	anim	original/anim.c	anim_ForceNextAnimSeq
0x140017FF0	0x17FF0	1279	anim	original/anim.c	anim_GetAnimFrame
0x1400184F0	0x184F0	143	anim	original/anim.c	anim_GlobalInit
0x140018580	0x18580	837	anim	original/anim.c	anim_GoNextAnimFrame
0x1400188D0	0x188D0	366	anim	original/anim.c	anim_HandleSound
0x140018A40	0x18A40	264	anim	original/anim.c	anim_InitAnimations
0x140018B50	0x18B50	492	anim	original/anim.c	anim_MotionRecovery
0x140018D40	0x18D40	98	anim	original/anim.c	anim_ProcessAnimations
0x140018DB0	0x18DB0	964	anim	original/anim.c	anim_SkipToStartFrame
0x140019180	0x19180	642	anim	original/anim.c	anim_SoundStart
0x140019410	0x19410	361	anim	original/anim.c	console_AnimCommand
0x140019580	0x19580	75	anim	original/anim.c	shouldPlayAnimSound
0x1400195D0	0x195D0	144	anim	original/anim.c	shouldReplayAnimSound
0x140019660	0x19660	33	animctrl	original/animctrl.c	animctrl_MotionChain
0x140019690	0x19690	138	animctrl	original/animctrl.c	animctrl_MotionComboChain
0x140019720	0x19720	74	animctrl	original/animctrl.c	animctrl_MotionEqualLock
0x140019770	0x19770	74	animctrl	original/animctrl.c	animctrl_MotionLock
0x1400197C0	0x197C0	92	animctrl	original/animctrl.c	animctrl_MotionLockLevel
0x140019820	0x19820	61	animctrl	original/animctrl.c	animctrl_MotionNoLock
0x140019860	0x19860	100	animutil	original/animutil.c	anim_CheckFreeze
0x1400198D0	0x198D0	37	animutil	original/animutil.c	anim_GetSeqFrameRange
0x140019900	0x19900	23	animutil	original/animutil.c	anim_GetTargetContext
0x140019920	0x19920	23	animutil	original/animutil.c	anim_GetTargetPartNum
0x140019940	0x19940	31	animutil	original/animutil.c	anim_GetTargetSeqPtr
0x140019960	0x19960	133	animutil	original/animutil.c	anim_ResetJedi
0x1400199F0	0x199F0	3	animutil	original/animutil.c	anim_gDumpSeq
0x140019A00	0x19A00	26	animutil	original/animutil.c	animutl_FlushSeqQueue
0x140019A20	0x19A20	15	animutil	original/animutil.c	animutl_GetCurrentLock
0x140019A30	0x19A30	19	animutil	original/animutil.c	animutl_GetLockLevel
0x140019A50	0x19A50	42	animutil	original/animutil.c	animutl_GetPercentPlayed
0x140019A80	0x19A80	15	animutil	original/animutil.c	animutl_GetTweeningFramesLeft
0x140019A90	0x19A90	121	animutil	original/animutil.c	animutl_GetWindow
0x140019B10	0x19B10	26	animutil	original/animutil.c	animutl_SetCurrentLock
0x140019B30	0x19B30	29	animutil	original/animutil.c	animutl_gGetCurrentAnimLength
0x140019B50	0x19B50	36	animutil	original/animutil.c	animutl_gGetCurrentFrameIndex
0x140019B80	0x19B80	27	animutil	original/animutil.c	animutl_gPauseAnim
0x140019BA0	0x19BA0	179	animutil	original/animutil.c	animutl_gRestartAnim
0x140019C60	0x19C60	35	animutil	original/animutil.c	animutl_gScaleAnimFrameRate
0x140019C90	0x19C90	14	animutil	original/animutil.c	animutl_gSetAnimFrameRate
0x140019CA0	0x19CA0	35	animutil	original/animutil.c	animutl_gSetCurrentFrameIndex
0x140019CD0	0x19CD0	15	animutil	original/animutil.c	animutl_gUnPauseAnim
0x140019CE0	0x19CE0	25	boss	original/boss.c	ai_Deadly
0x140019D00	0x19D00	6	boss	original/boss.c	ai_Destroyer
0x140019D10	0x19D10	448	boss	original/boss.c	ai_JarJar
0x140019ED0	0x19ED0	1977	boss	original/boss.c	ai_Kadu
0x14001A690	0x1A690	51	boss	original/boss.c	ai_Krakis
0x14001A6D0	0x1A6D0	1143	boss	original/boss.c	ai_LoaderDroid
0x14001AB50	0x1AB50	527	boss	original/boss.c	ai_Maul
0x14001AD60	0x1AD60	237	boss	original/boss.c	ai_Mtt
0x14001AE50	0x1AE50	191	boss	original/boss.c	ai_ShowFlags
0x14001AF10	0x1AF10	249	boss	original/boss.c	ai_Sphere
0x14001B010	0x1B010	1148	boss	original/boss.c	ai_StarFighter
0x14001B490	0x1B490	587	boss	original/boss.c	ai_Thug
0x14001B6E0	0x1B6E0	2927	boss	original/boss.c	ai_TurretDroid
0x14001C250	0x1C250	51	boss	original/boss.c	ai_Worm
0x14001C290	0x1C290	414	boss	original/boss.c	boss_StarFighterBlaster
0x14001C430	0x1C430	93	boss	original/boss.c	maul_PushCallBack
0x14001C490	0x1C490	93	boss	original/boss.c	maul_RingCallBack
0x14001C4F0	0x1C4F0	833	boss	original/boss.c	maul_ZapCallBack
0x14001C840	0x1C840	227	brain	original/brain.c	brain_CheckForEffects
0x14001C930	0x1C930	3954	brain	original/brain.c	brain_ControlPlayer
0x14001D8B0	0x1D8B0	125	brain	original/brain.c	brain_DoRingOffEffect
0x14001D930	0x1D930	111	brain	original/brain.c	brain_DoRingOnEffect
0x14001D9A0	0x1D9A0	680	brain	original/brain.c	brain_GroundControl
0x14001DC50	0x1DC50	85	brain	original/brain.c	brain_HangCallback
0x14001DCB0	0x1DCB0	336	brain	original/brain.c	brain_LockOn
0x14001DE00	0x1DE00	68	brain	original/brain.c	brain_SetFallTrajectory
0x14001DE50	0x1DE50	126	brain	original/brain.c	brain_SetJumpTrajectory
0x14001DED0	0x1DED0	258	brain	original/brain.c	brain_SetTrajectory
0x14001DFE0	0x1DFE0	136	brain	original/brain.c	brain_SkidCallBack
0x14001E070	0x1E070	60	brain	original/brain.c	brain_SwapVelDirCallBack
0x14001E0B0	0x1E0B0	154	brain	original/brain.c	brain_TakeOff
0x14001E150	0x1E150	284	brain	original/brain.c	brain_ThrowEnder
0x14001E270	0x1E270	477	brain	original/brain.c	brain_ValidateLockOn
0x14001E450	0x1E450	239	braindmg	original/braindmg.c	braindmg_AirHitReaction
0x14001E540	0x1E540	71	braindmg	original/braindmg.c	braindmg_BlockEffects
0x14001E590	0x1E590	779	braindmg	original/braindmg.c	braindmg_Blocking
0x14001E8A0	0x1E8A0	4255	braindmg	original/braindmg.c	braindmg_DamageControl
0x14001F940	0x1F940	102	braindmg	original/braindmg.c	braindmg_DamageEffects
0x14001F9B0	0x1F9B0	111	braindmg	original/braindmg.c	braindmg_DamageTracker
0x14001FA20	0x1FA20	1577	braindmg	original/braindmg.c	braindmg_DeathReaction
0x140020050	0x20050	161	braindmg	original/braindmg.c	braindmg_FindHitReaction
0x140020100	0x20100	563	braindmg	original/braindmg.c	braindmg_HitReaction
0x140020340	0x20340	462	braindmg	original/braindmg.c	braindmg_LevelDamage
0x140020510	0x20510	38	braindmg	original/braindmg.c	braindmg_LogHits
0x140020540	0x20540	31	braindmg	original/braindmg.c	braindmg_ResetDamageTracker
0x140020560	0x20560	214	brainutl	original/brainutl.c	brainutil_PauseControl
0x140020640	0x20640	286	brainutl	original/brainutl.c	brainutil_PlotMaulTrajectory
0x140020760	0x20760	1086	brainutl	original/brainutl.c	brainutil_PlotTrajectory
0x140020BA0	0x20BA0	109	brainutl	original/brainutl.c	brainutil_ReverseCheck
0x140020C10	0x20C10	17	brainutl	original/brainutl.c	brainutil_limitRange
0x140020C30	0x20C30	69	brainutl	original/brainutl.c	brainutl_AddSabreEdge
0x140020C80	0x20C80	1543	brainutl	original/brainutl.c	brainutl_ConformGeomNodes
0x140021290	0x21290	18	brainutl	original/brainutl.c	brainutl_DeltaTime
0x1400212B0	0x212B0	27	brainutl	original/brainutl.c	brainutl_ElapsedTime
0x1400212D0	0x212D0	30	brainutl	original/brainutl.c	brainutl_FindLSB
0x1400212F0	0x212F0	29	brainutl	original/brainutl.c	brainutl_FindLSB_LV
0x140021310	0x21310	249	brainutl	original/brainutl.c	brainutl_HeldPad
0x140021410	0x21410	382	brainutl	original/brainutl.c	brainutl_Land
0x140021590	0x21590	362	brainutl	original/brainutl.c	brainutl_MultiPad
0x140021700	0x21700	61	brainutl	original/brainutl.c	brainutl_PlayMotionSound
0x140021740	0x21740	363	brainutl	original/brainutl.c	brainutl_gGetNearestTarget
0x1400218B0	0x218B0	398	bucket	original/bucket.c	bucketCopy
0x140021A40	0x21A40	234	bucket	original/bucket.c	bucketDecompressRLRandom
0x140021B30	0x21B30	455	bucket	original/bucket.c	bucketFindFile
0x140021D00	0x21D00	438	bucket	original/bucket.c	bucketFindSubname
0x140021EC0	0x21EC0	42	bucket	original/bucket.c	bucketFront
0x140021EF0	0x21EF0	6	bucket	original/bucket.c	bucketHandleCommand
0x140021F00	0x21F00	6	bucket	original/bucket.c	bucketHandler
0x140021F10	0x21F10	19	bucket	original/bucket.c	bucketJedi
0x140021F30	0x21F30	113	bucket	original/bucket.c	bucketLevelLoad
0x140021FB0	0x21FB0	12	bucket	original/bucket.c	bucketLevels
0x140021FC0	0x21FC0	347	bucket	original/bucket.c	bucketLoadBuk
0x140022120	0x22120	130	bucket	original/bucket.c	bucketRLDecompress
0x1400221B0	0x221B0	72	bucket	original/bucket.c	bucketStringToCaps
0x140022200	0x22200	12	bucket	original/bucket.c	checkBucketFP
0x140022210	0x22210	3	bucket	original/bucket.c	closeBucketLog
0x140022220	0x22220	137	bucket	original/bucket.c	debugBucket
0x1400222B0	0x222B0	148	bucket	original/bucket.c	gammaHandler
0x140022350	0x22350	12	bucket	original/bucket.c	gdirHandler
0x140022360	0x22360	5	bucket	original/bucket.c	gdirOutput
0x140022370	0x22370	42	bucket	original/bucket.c	initBucket
0x1400223A0	0x223A0	173	bucket	original/bucket.c	memConsoleHandler
0x140022450	0x22450	3	bucket	original/bucket.c	openBucket
0x140022460	0x22460	11	bucket	original/bucket.c	openBucketLog
0x140022470	0x22470	3	bucket	original/bucket.c	pauseUnpauseBucket
0x140022480	0x22480	83	bucket	original/bucket.c	printf
