module	rva	symbol	source
brain	0x1C930	brain_ControlPlayer	original/brain_control.c
bucket	0x225E0	updateBucket	original/bucket_update.c
wHook	0x127B20	debug_printf	original/debug_printf.c
wHook	0x1175B0	el_chavo::InitFBXLevelData	../port/pc_level_fbx.c
wHook	0x115E90	el_chavo::EndPoly	portable/software_renderer.c
wHook	0x119280	el_chavo::NoScaleEndPoly	portable/software_renderer.c
wHook	0x112A40	el_chavo::ApplyCulling	portable/software_renderer.c
wHook	0x112FC0	el_chavo::ApplyProjection	portable/software_renderer.c
wHook	0x113050	el_chavo::ApplyProjectionPolyArray	portable/software_renderer.c
force	0xA2B20	force_gActivate	original/force_activate.c
game	0xA8B40	game_OneGameLoop	original/game_frame.c
game	0xA98F0	game_gPlayTheGame	original/game_play.c
game	0xAA4F0	game_initPerLevel	original/game_level.c
game	0xAA8D0	game_initVar	original/game_level.c
game	0xAAD50	game_loadLevelMode	original/game_load_mode.c
main	0xBE1A0	initialize_main	original/main_initialize.c
d3dapp	0x38BE0	SteamInternal_Init_SteamUtils	original/d3d/d3dapp_steam.cpp
